"Name","Runtime","Notes","Tags","lr","schatten_coeff","topk_recon_coeff","grad_norm","out_recon_loss","param_match_loss","schatten_loss","topk_recon_loss","total_loss"
"hpsens_topk2.00e+00_topkrecon5.00e+00_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr5.00e-04_bs8192_ft40_hid10hid-layers0","1040","-","","0.0005","10","5","0.0013409277889877558","0.000007386258857877692","0.000012633381629711948","0.004967135842889547","0.0017363143851980567","0.05836556479334831"
"hpsens_topk2.00e+00_topkrecon5.00e+00_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr2.00e-03_bs8192_ft40_hid10hid-layers0","1090","-","","0.002","10","5","0.0013215388171374798","0.000012480915756896138","0.00002112436050083488","0.004972837399691343","0.0019142280798405409","0.059320639818906784"
"hpsens_topk2.00e+00_topkrecon5.00e+00_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr1.00e-03_bs8192_ft40_hid10hid-layers0","1249","-","","0.001","10","5","0.001405371818691492","0.00000948840443015797","0.000015351854017353617","0.004898072220385075","0.002097918651998043","0.05948566645383835"
"hpsens_topk2.00e+00_topkrecon1.00e+01_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr1.00e-03_bs8192_ft40_hid10hid-layers0","1252","-","","0.001","10","10","0.0021027459297329187","1.1512699238380721e-8","2.6926628038381754e-8","0.0055742464028298855","0.0009211526485159992","0.06495402008295059"
"hpsens_topk2.00e+00_topkrecon1.00e+01_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr2.00e-03_bs8192_ft40_hid10hid-layers0","1014","-","","0.002","10","10","0.0021737951319664717","2.2332041993422536e-8","5.439272143803464e-8","0.005711698438972235","0.0010159197263419628","0.0672762393951416"
"hpsens_topk2.00e+00_topkrecon1.00e+01_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr5.00e-04_bs8192_ft40_hid10hid-layers0","1049","-","","0.0005","10","10","0.002674629911780358","3.4148477379147835e-9","9.213476204195103e-9","0.005832298658788204","0.000959960394538939","0.06792259961366653"
"hpsens_topk2.00e+00_topkrecon1.50e+01_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr2.00e-03_bs8192_ft40_hid10hid-layers0","1008","-","","0.002","10","15","0.003528339322656393","2.997360581957764e-8","8.025386932786206e-8","0.006412695627659559","0.0010747138876467943","0.08024774491786957"
"hpsens_topk2.00e+00_topkrecon1.50e+01_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr1.00e-03_bs8192_ft40_hid10hid-layers0","1019","-","","0.001","10","15","0.0034719989635050297","1.3954885247358106e-8","3.8669732305152145e-8","0.006426838226616383","0.0011081964476034043","0.08089137077331543"
"hpsens_topk2.00e+00_topkrecon1.50e+01_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr5.00e-04_bs8192_ft40_hid10hid-layers0","1005","-","","0.0005","10","15","0.00462101586163044","2.4356123784485813e-9","6.307256938953287e-9","0.006650810595601797","0.001085141091607511","0.0827852264046669"
"hpsens_topk2.00e+00_topkrecon5.00e+00_schatp9.00e-01_schatten1.50e+01_C40_sd0_attr-gra_lr5.00e-04_bs8192_ft40_hid10hid-layers0","1005","-","","0.0005","15","5","0.0016287812031805515","0.00008552816871087998","0.00011735589941963552","0.004142863675951958","0.004144642036408186","0.08298352360725403"
"hpsens_topk2.00e+00_topkrecon5.00e+00_schatp9.00e-01_schatten1.50e+01_C40_sd0_attr-gra_lr1.00e-03_bs8192_ft40_hid10hid-layers0","1348","-","","0.001","15","5","0.0016500179190188646","0.00007838746387278661","0.00010224874131381512","0.004276901483535767","0.0037622281815856695","0.0830669105052948"
"hpsens_topk2.00e+00_topkrecon5.00e+00_schatp9.00e-01_schatten1.50e+01_C40_sd0_attr-gra_lr2.00e-03_bs8192_ft40_hid10hid-layers0","1063","-","","0.002","15","5","0.001533851376734674","0.00008916710794437677","0.00011182803427800536","0.00428612157702446","0.003867965191602707","0.08374347537755966"
"hpsens_topk2.00e+00_topkrecon1.00e+01_schatp9.00e-01_schatten1.50e+01_C40_sd0_attr-gra_lr2.00e-03_bs8192_ft40_hid10hid-layers0","1080","-","","0.002","15","10","0.0022739211563020945","0.0000059890062402701005","0.00001460305429645814","0.005249933805316687","0.0011428974103182554","0.09019258618354796"
"hpsens_topk2.00e+00_topkrecon1.00e+01_schatp9.00e-01_schatten1.50e+01_C40_sd0_attr-gra_lr1.00e-03_bs8192_ft40_hid10hid-layers0","990","-","","0.001","15","10","0.002297693397849798","0.000008423714461969212","0.000021565836505033076","0.005238612648099661","0.0011977184331044557","0.09057793766260148"
"hpsens_topk2.00e+00_topkrecon1.00e+01_schatp9.00e-01_schatten1.50e+01_C40_sd0_attr-gra_lr5.00e-04_bs8192_ft40_hid10hid-layers0","1044","-","","0.0005","15","10","0.0028336721006780863","3.283559806277481e-7","6.507044645331916e-7","0.005243606399744749","0.0012455519754439592","0.09111026674509048"
"hpsens_topk2.00e+00_topkrecon5.00e+00_schatp9.00e-01_schatten2.00e+01_C40_sd0_attr-gra_lr2.00e-03_bs8192_ft40_hid10hid-layers0","1123","-","","0.002","20","5","0.0014886087737977505","0.0003438829444348812","0.0003966650110669434","0.0034893820993602276","0.005578541662544012","0.09807701408863068"
"hpsens_topk2.00e+00_topkrecon5.00e+00_schatp9.00e-01_schatten2.00e+01_C40_sd0_attr-gra_lr5.00e-04_bs8192_ft40_hid10hid-layers0","1027","-","","0.0005","20","5","0.0016095680184662342","0.00033697200706228614","0.0004023389192298054","0.0035331901162862778","0.005449941381812096","0.09831584990024568"
"hpsens_topk2.00e+00_topkrecon5.00e+00_schatp9.00e-01_schatten2.00e+01_C40_sd0_attr-gra_lr1.00e-03_bs8192_ft40_hid10hid-layers0","985","-","","0.001","20","5","0.0015758323715999722","0.0003417561238165945","0.0004206143203191459","0.00357168260961771","0.005387868732213974","0.0987936109304428"
"hpsens_topk2.00e+00_topkrecon1.50e+01_schatp9.00e-01_schatten1.50e+01_C40_sd0_attr-gra_lr1.00e-03_bs8192_ft40_hid10hid-layers0","1169","-","","0.001","15","15","0.0033039527479559183","1.5456070201480543e-8","3.906269796516426e-8","0.00573510630056262","0.000952341128140688","0.1003117486834526"
"hpsens_topk2.00e+00_topkrecon1.50e+01_schatp9.00e-01_schatten1.50e+01_C40_sd0_attr-gra_lr5.00e-04_bs8192_ft40_hid10hid-layers0","1018","-","","0.0005","15","15","0.003851689165458083","5.731771945960418e-9","1.415560113571246e-8","0.0057293931022286415","0.0009615083108656108","0.10036353766918182"
"hpsens_topk2.00e+00_topkrecon1.50e+01_schatp9.00e-01_schatten1.50e+01_C40_sd0_attr-gra_lr2.00e-03_bs8192_ft40_hid10hid-layers0","1047","-","","0.002","15","15","0.003212993498891592","2.9711628712902893e-8","7.490645970165134e-8","0.005729030352085829","0.000998545903712511","0.10091371834278108"
"hpsens_topk2.00e+00_topkrecon1.00e+01_schatp9.00e-01_schatten2.00e+01_C40_sd0_attr-gra_lr2.00e-03_bs8192_ft40_hid10hid-layers0","986","-","","0.002","20","10","0.002630821894854307","0.00002213261177530512","0.00003797289537033066","0.004970181733369827","0.0018424589652568104","0.11786619573831558"
"hpsens_topk2.00e+00_topkrecon1.00e+01_schatp9.00e-01_schatten2.00e+01_C40_sd0_attr-gra_lr1.00e-03_bs8192_ft40_hid10hid-layers0","1057","-","","0.001","20","10","0.0026835014577955008","0.000026418907509651035","0.00004864837319473736","0.004962148144841194","0.00190155697055161","0.11830718070268632"
"hpsens_topk2.00e+00_topkrecon1.00e+01_schatp9.00e-01_schatten2.00e+01_C40_sd0_attr-gra_lr5.00e-04_bs8192_ft40_hid10hid-layers0","995","-","","0.0005","20","10","0.002735063200816512","0.00003157800529152155","0.00005298264295561239","0.004872177727520466","0.0021006630267947912","0.1185031682252884"
"hpsens_topk2.00e+00_topkrecon1.50e+01_schatp9.00e-01_schatten2.00e+01_C40_sd0_attr-gra_lr5.00e-04_bs8192_ft40_hid10hid-layers0","1107","-","","0.0005","20","15","0.003653682302683592","0.000006366566140059149","0.000017579703126102686","0.005262259393930435","0.001126959454268217","0.12216715514659882"
"hpsens_topk2.00e+00_topkrecon1.50e+01_schatp9.00e-01_schatten2.00e+01_C40_sd0_attr-gra_lr2.00e-03_bs8192_ft40_hid10hid-layers0","1068","-","","0.002","20","15","0.00330270454287529","0.000004960487785865553","0.000013876262528356165","0.005365136079490185","0.0010650900658220053","0.1232929527759552"
"hpsens_topk2.00e+00_topkrecon1.50e+01_schatp9.00e-01_schatten2.00e+01_C40_sd0_attr-gra_lr1.00e-03_bs8192_ft40_hid10hid-layers0","1037","-","","0.001","20","15","0.0034481508191674948","6.142892061689054e-7","0.0000013133870879755705","0.0053428951650857925","0.001132089993916452","0.1238405704498291"